,station_date,split,pos_lat,pos_lon,pos_height,solution_quality,num_satellites,sdn,sde,sdu,sdne,sdeu,sdun,age,ratio,pdop,pos_uncertainty,bds_sat_count_obs,snr_mean,snr_min,snr_max,snr_std,true_h_error_m,reliability_class
2023-12-10 00:19:30,URUM_20231210,train,43.807943594,87.600674422,856.9321,5,14,2.0309,1.5041,3.9751,-0.557,1.2068,-1.218,0.0,0.0,4.710444950320511,2.527226072198528,27,42.66048148148148,34.363,51.172,4.710546386488435,0.7634115922578256,0
2023-12-10 00:20:00,URUM_20231210,train,43.807940414,87.60067266,856.6114,5,14,2.035,1.5046,3.9699,-0.5621,1.2054,-1.2175,0.0,0.0,4.707988123391987,2.5308192665617195,27,42.56414814814815,33.98,51.215,4.793887026553903,1.0742057837800572,0
2023-12-10 00:20:30,URUM_20231210,train,43.807940725,87.600673344,856.0962,5,14,2.0391,1.505,3.9647,-0.5672,1.2039,-1.217,0.0,0.0,4.7055074009080045,2.534354712742476,27,42.54011111111112,34.188,51.027,4.8024468790025185,1.0483451027899036,0
2023-12-10 00:21:00,URUM_20231210,train,43.80793799,87.600672077,856.5003,5,14,2.0432,1.5054,3.9596,-0.5724,1.2024,-1.2166,0.0,0.0,4.703118918334939,2.53789192047258,27,42.51948148148148,34.059,51.414,4.824282500421658,1.3382446401713324,0
2023-12-10 00:21:30,URUM_20231210,train,43.807950613,87.600678046,854.152,5,13,2.3963,1.5746,5.3278,0.4892,-0.4478,-2.4343,0.0,0.0,6.050377813822869,2.867336542856454,27,42.5698888888889,34.738,51.258,4.81197366618964,0.5695028765353897,0
2023-12-10 00:22:00,URUM_20231210,train,43.807948818,87.600675874,854.7503,5,13,2.3981,1.5744,5.3222,0.4789,-0.4429,-2.4311,0.0,0.0,6.046108815593712,2.8687312474332622,27,42.57544444444444,34.383,51.02,4.748970903366922,0.4126090787583142,0
2023-12-10 00:22:30,URUM_20231210,train,43.807944343,87.600677406,854.1494,5,13,2.4,1.5743,5.3164,0.4684,-0.4382,-2.4279,0.0,0.0,6.04173232194211,2.8702648815048413,27,42.4232962962963,34.27,50.609,4.925767521723155,0.8123594359508769,0
2023-12-10 00:23:00,URUM_20231210,train,43.807950208,87.600673516,854.5526,5,13,2.4018,1.5742,5.3104,0.4576,-0.4335,-2.4246,0.0,0.0,6.037143119058881,2.8717153201527483,27,42.52674074074074,34.461,50.453,4.685034345105148,0.203217853520787,0
2023-12-10 00:23:30,URUM_20231210,train,43.807946753,87.600677801,855.4377,5,13,2.4037,1.5741,5.3043,0.4465,-0.4288,-2.4214,0.0,0.0,6.032508847071838,2.873249815104841,27,42.58740740740741,34.719,50.512,4.690916141939893,0.6543691378751033,0
2023-12-10 00:24:00,URUM_20231210,train,43.807947026,87.600675328,854.8971,5,13,2.4056,1.574,5.2981,0.4351,-0.4243,-2.4182,0.0,0.0,6.027789890996534,2.874784750203048,27,42.578037037037035,33.844,50.586,4.833708144029014,0.4795592420919057,0
2023-12-10 00:24:30,URUM_20231210,train,43.807947224,87.600675951,854.3329,5,13,2.4076,1.574,5.2917,0.4234,-0.4198,-2.4149,0.0,0.0,6.022964606404391,2.876458544808181,27,42.67096296296296,34.684,50.598,4.683766576669822,0.5031151462905133,0
2023-12-10 00:25:00,URUM_20231210,train,43.807947678,87.600677791,855.2549,5,13,2.4095,1.5739,5.2852,0.4113,-0.4154,-2.4116,0.0,0.0,6.017988908264953,2.877994346763037,26,42.82573076923077,34.559,50.496,4.606388481730063,0.6030183602390267,0
2023-12-10 00:25:30,URUM_20231210,train,43.807948054,87.600676743,853.8567,5,13,2.4115,1.5739,5.2785,0.3987,-0.4111,-2.4083,0.0,0.0,6.012907425696824,2.8796689844494283,26,42.90626923076923,34.574,50.52,4.630094578366125,0.5091214997152931,0
